sample-id	data	location	date	subject	sampletype	replicate	full_name
ERR2112588	data	L	0814	25	G	1	L0814_25G1
ERR2112589	data	L	0814	25	G	2	L0814_25G2
ERR2112590	data	L	0814	25	G	3	L0814_25G3
ERR2112591	data	L	0814	25	M	1	L0814_25M1
ERR2112592	data	L	0814	25	M	2	L0814_25M2
ERR2112593	data	L	0814	25	M	3	L0814_25M3
ERR2112594	data	L	0814	37	G	1	L0814_37G1
ERR2112595	data	L	0814	37	G	2	L0814_37G2
ERR2112596	data	L	0814	37	G	3	L0814_37G3
ERR2112597	data	L	0814	37	M	1	L0814_37M1
ERR2112598	data	L	0814	37	M	2	L0814_37M2
ERR2112599	data	L	0814	37	M	3	L0814_37M3
ERR2112600	data	L	0814	27	G	1	L0814_27G1
ERR2112601	data	L	0814	27	G	2	L0814_27G2
ERR2112602	data	L	0814	27	G	3	L0814_27G3
ERR2112603	data	L	0814	27	M	1	L0814_27M1
ERR2112604	data	L	0814	27	M	2	L0814_27M2
ERR2112605	data	L	0814	27	M	3	L0814_27M3
ERR2112606	data	L	0814	28	G	1	L0814_28G1
ERR2112607	data	L	0814	28	G	2	L0814_28G2
ERR2112608	data	L	0814	28	G	3	L0814_28G3
ERR2112609	data	L	0814	28	M	1	L0814_28M1
ERR2112610	data	L	0814	28	M	2	L0814_28M2
ERR2112611	data	L	0814	28	M	3	L0814_28M3
ERR2112612	data	L	0814	29	A	1	L0814_29A1
ERR2112613	data	L	0814	29	A	2	L0814_29A2
ERR2112614	data	L	0814	29	A	3	L0814_29A3
ERR2112615	data	L	0814	30	A	1	L0814_30A1
ERR2112616	data	L	0814	30	A	2	L0814_30A2
ERR2112617	data	L	0814	30	A	3	L0814_30A3
ERR2112618	data	L	0814	31	A	1	L0814_31A1
ERR2112619	data	L	0814	31	A	2	L0814_31A2
ERR2112620	data	L	0814	31	A	3	L0814_31A3
ERR2112621	data	L	0814	41	A	1	L0814_41A1
ERR2112622	data	L	0814	41	A	2	L0814_41A2
ERR2112623	data	L	0814	41	A	3	L0814_41A3
ERR2112624	data	L	0814	33	A	1	L0814_33A1
ERR2112625	data	L	0814	33	A	2	L0814_33A2
ERR2112626	data	L	0814	33	A	3	L0814_33A3
ERR2112627	data	L	0814	34	A	1	L0814_34A1
ERR2112628	data	L	0814	34	A	2	L0814_34A2
ERR2112629	data	L	0814	34	A	3	L0814_34A3
ERR2112630	data	L	0814	35	A	1	L0814_35A1
ERR2112631	data	L	0814	35	A	2	L0814_35A2
ERR2112632	data	L	0814	35	A	3	L0814_35A3
ERR2112633	data	L	0814	44	A	1	L0814_44A1
ERR2112634	data	L	0814	44	A	2	L0814_44A2
ERR2112635	data	L	0814	44	A	3	L0814_44A3
ERR2112636	data	S	0913	35	G	1	S0913_35G1
ERR2112637	data	S	0913	35	G	2	S0913_35G2
ERR2112638	data	S	0913	35	G	3	S0913_35G3
ERR2112639	data	S	0913	35	M	1	S0913_35M1
ERR2112640	data	S	0913	35	M	2	S0913_35M2
ERR2112641	data	S	0913	35	M	3	S0913_35M3
ERR2112642	data	S	0913	26	G	1	S0913_26G1
ERR2112643	data	S	0913	26	G	2	S0913_26G2
ERR2112644	data	S	0913	26	G	3	S0913_26G3
ERR2112645	data	S	0913	26	M	1	S0913_26M1
ERR2112646	data	S	0913	26	M	2	S0913_26M2
ERR2112647	data	S	0913	26	M	3	S0913_26M3
ERR2112648	data	S	0913	27	G	1	S0913_27G1
ERR2112649	data	S	0913	27	G	2	S0913_27G2
ERR2112650	data	S	0913	27	G	3	S0913_27G3
ERR2112651	data	S	0913	27	M	1	S0913_27M1
ERR2112652	data	S	0913	27	M	2	S0913_27M2
ERR2112653	data	S	0913	27	M	3	S0913_27M3
ERR2112654	data	S	0913	31	G	1	S0913_31G1
ERR2112655	data	S	0913	31	G	2	S0913_31G2
ERR2112656	data	S	0913	31	G	3	S0913_31G3
ERR2112657	data	S	0913	31	M	1	S0913_31M1
ERR2112658	data	S	0913	31	M	2	S0913_31M2
ERR2112659	data	S	0913	31	M	3	S0913_31M3
ERR2112660	data	S	0913	29	A	1	S0913_29A1
ERR2112661	data	S	0913	29	A	2	S0913_29A2
ERR2112662	data	S	0913	29	A	3	S0913_29A3
ERR2112663	data	S	0913	30	A	1	S0913_30A1
ERR2112664	data	S	0913	30	A	2	S0913_30A2
ERR2112665	data	S	0913	30	A	3	S0913_30A3
ERR2112666	data	S	0913	25	A	1	S0913_25A1
ERR2112667	data	S	0913	25	A	2	S0913_25A2
ERR2112668	data	S	0913	25	A	3	S0913_25A3
ERR2112669	data	S	0913	32	A	1	S0913_32A1
ERR2112670	data	S	0913	32	A	2	S0913_32A2
ERR2112671	data	S	0913	32	A	3	S0913_32A3
ERR2112672	data	S	0913	33	A	1	S0913_33A1
ERR2112673	data	S	0913	33	A	2	S0913_33A2
ERR2112674	data	S	0913	33	A	3	S0913_33A3
ERR2112675	data	S	0913	34	A	1	S0913_34A1
ERR2112676	data	S	0913	34	A	2	S0913_34A2
ERR2112677	data	S	0913	34	A	3	S0913_34A3
ERR2112678	control	NA	NA	NA	NA	NA	Discard01
ERR2112679	control	NA	NA	NA	NA	NA	Discard02
ERR2112680	control	NA	NA	NA	NA	NA	Discard03
ERR2112681	control	NA	NA	NA	NA	NA	POS_cod
ERR2112682	control	NA	NA	NA	NA	NA	NTC_1_cod
ERR2112683	control	NA	NA	NA	NA	NA	NTC_2_cod
